gene_id,disease_exg_partial_r,human_score_partial_r,pct_partial_r,disease_exg_partial_p,human_score_partial_p,pct_partial_p
Sobic.009G249100,0.025581232497709678,0.0011961827315250945,0.027119182197508758,0.48716681504852244,0.9798573967539,0.4613596296834866
Sobic.009G249200,-0.003983195617923406,-0.03577909114980765,-0.004518667334175247,0.9138593420916404,0.44999294058484,0.9023336810109703
Sobic.009G249400,0.030718334316812507,0.047235256185169376,0.04039767236032985,0.4040481134986132,0.3184997227289925,0.27241161281491005
Sobic.009G249500,0.0029805561607345763,0.004983610326906671,-0.0003639603110667022,0.9354872772108643,0.916225754709402,0.9921137944179625
Sobic.009G249600,0.07850958988051515,0.011534160503592121,0.07245866291000333,0.032730134552373606,0.8076504528302426,0.04879860702303115
Sobic.009G249700,0.023306371741589046,-0.0028055060674371125,0.022262307917897222,0.5267231565430489,0.9527803927124522,0.5454106351959978
Sobic.009G249800,0.021344036169977085,-0.002500376825495955,0.020351881063778922,0.5621135332983508,0.9579109975652438,0.5804329971528781
Sobic.009G249900,-0.059483003945373175,0.003286773159425098,-0.05940202585445293,0.10591951118638424,0.9446921580091403,0.10639646624526536
Sobic.009G250000,-0.05649557729081128,-8.275106496606968e-05,-0.05421444640911707,0.12466736346822879,0.998606402290041,0.1406478071459355
Sobic.009G250100,-0.027371286985645085,-0.013785924030211835,-0.019324623213957153,0.4572031786325405,0.7710577134110439,0.5996896105070382
Sobic.009G250200,-0.01300576942965562,0.009321001596798061,-0.0032741919221111913,0.7239294931067582,0.8440298217243104,0.9291476195859294
Sobic.009G250300,-0.011650317387006967,-0.04096048087007683,-0.002414707852254946,0.7517005295159228,0.38708770614217825,0.9477152327832316
Sobic.009G250400,0.05890915827954346,0.034456767342376016,0.05305283021603863,0.10933616476526159,0.4669253389669872,0.14936762465012596
Sobic.009G250500,0.05969099730738381,0.007862650750549972,0.0596726406445349,0.10470219941212654,0.8681895525797814,0.10480918648701933
Sobic.009G250600,-0.002711987310164511,-0.0021979284620967723,0.006591234163829153,0.9412893217347855,0.9629982407383658,0.8579378668489882
Sobic.009G250650,0.009147774467966264,0.0024196464123650736,0.001493631982744503,0.8038010345385732,0.9592687410038343,0.9676446656967447
Sobic.009G250700,-0.0711036716653094,-0.05430329015687846,-0.060343079084290714,0.05318611016513928,0.2513736114764069,0.10095753301852906
Sobic.009G250800,-0.0965746769753509,-0.043144873473642036,-0.08483447628715095,0.008568142742158683,0.3622543509371129,0.02099870049540644
Sobic.009G250900,0.06624332472869157,0.02672735431819608,0.06049372308069208,0.0717114829219768,0.5725963886138251,0.10010776486805399
Sobic.009G251000,-0.08991457611282792,-0.07857701389742425,-0.08017860872384114,0.014414534655683889,0.09669646634473543,0.029189417213063444
Sobic.009G251100,-0.015712680807384288,0.01387982850082757,-0.008053864623942836,0.6695724281953629,0.7695420598661032,0.8268666250003268
Sobic.009G251200,-0.024594363760137586,-0.05764239192863619,-0.02134084823962264,0.5041278093250274,0.22335185523511306,0.5621719470649721
Sobic.009G251300,-0.10841730701960833,-0.06951776266405091,-0.1036772533593822,0.003147097333791665,0.14181091287300313,0.00475513855740078
Sobic.009G251400,-0.025256511844565552,-0.0730249044976092,-0.013377439525634952,0.4927135055764156,0.1227364461273147,0.7163757357746491
