gene_id,emb_partial_r,emb_partial_p,yellow_partial_r,yellow_partial_p,gloss_partial_r,gloss_partial_p,n
Sobic.009G249100,-0.02621112730173765,0.47770202447704097,-0.027332508396270404,0.45784115200318853,0.012278923921966603,0.7387789668470515,736
Sobic.009G249200,-0.06933976685696737,0.06007990029659677,0.0238814747979326,0.5165706868255142,0.009323834373328961,0.8001040474955178,736
Sobic.009G249400,0.01747532348206952,0.6359820637792435,0.07169241443256467,0.05124091728032854,0.01914092213688436,0.6031634046657779,736
Sobic.009G249500,-0.038799732165783474,0.29315890191605976,0.027111892050908352,0.46148013490411327,0.05062416186019667,0.16892066081848567,736
Sobic.009G249600,0.07431989588207691,0.04384084541543882,-0.04874308322829728,0.1853366987466761,0.06066264207724592,0.09916168872462831,736
Sobic.009G249700,-0.013432072680344777,0.7160073373037469,0.03048802222190543,0.4075830940090494,0.04339092585707257,0.2384297660727985,736
Sobic.009G249800,-0.03267497655036021,0.3760597935117024,0.01676547251730646,0.6488710019464433,0.03423638024080201,0.3523563451682189,736
Sobic.009G249900,-0.07839176340128612,0.0334721736772552,0.04472273169048049,0.2243122367272099,-0.06661265770457386,0.07013950331276396,736
Sobic.009G250000,-0.06309594897653391,0.08716507219448202,0.04626276531865715,0.20874317481732696,0.05015462824499674,0.17291252571172924,736
Sobic.009G250100,-0.04433364267131446,0.229639519858695,0.02619575229845134,0.47676271107703627,-0.08638003631456752,0.01876268023311002,736
Sobic.009G250200,-0.0039084410922146234,0.9156985657751183,0.05386691430269224,0.14321463310124463,-0.08427055172447152,0.021870427330375444,736
Sobic.009G250300,-0.036988838302412286,0.3162859505740032,-0.00647700059755863,0.8603745051351757,-0.0868943742705308,0.018066136317895023,736
Sobic.009G250400,0.06225905226617583,0.0914472294801598,-0.07444117760136369,0.0429284894918639,0.04197152090233659,0.25415251202083633,736
Sobic.009G250500,0.034008800478740955,0.35687610123686553,-0.036610816302715316,0.31994461523678186,-0.026725669199615346,0.4678893821347014,736
Sobic.009G250600,-0.009032923973927784,0.8067308898749016,-0.01922969291807432,0.6014836176743281,-0.06654829710003582,0.07041139071314971,736
Sobic.009G250650,0.022431457505173297,0.543457918288596,0.05932809873265156,0.10683337381378236,0.004150571881526926,0.9102546244993527,736
Sobic.009G250700,-0.061572463465237225,0.09508492112757709,-0.013278862098991415,0.7183765443442001,-0.055983798567419266,0.12812365723346075,736
Sobic.009G250800,-0.11031943897639813,0.002726896337942406,-0.023172398062730696,0.5291027519257465,-0.04362900365456596,0.2358611753975406,736
Sobic.009G250900,0.03994607433188737,0.2791193106270965,-0.033531146603963155,0.36236916538665603,0.03221371801840869,0.38154475298814755,736
Sobic.009G251000,-0.05753897083863608,0.11884682071222313,0.02346342403819522,0.5239406064429745,-0.06631768656665604,0.07139268394119208,736
Sobic.009G251100,-0.03829300593393105,0.29951314872074725,0.009765008428518922,0.7908598543145309,-0.06090457147537987,0.09781911609265717,736
Sobic.009G251200,-0.03502144486691304,0.3427304079032748,0.05581646981153372,0.1292696967466195,-0.04792549341855627,0.1928279315679809,736
Sobic.009G251300,-0.08117474577461112,0.027657711288725913,-0.02915087732748532,0.42846720068638583,-0.0171052455224933,0.642246325008959,736
Sobic.009G251400,-0.010252779463491329,0.7812538229007948,0.03403034683558144,0.355263348773607,-0.06729394037743908,0.06731385356054274,736
