gene_id,disease_exg_partial_r,human_score_partial_r,pct_partial_r,disease_exg_partial_p,human_score_partial_p,pct_partial_p
Sobic.004G057400,0.011618821830408728,-0.004553963476535984,0.01038686320926391,0.7523498141678994,0.9234249113554464,0.7778797306445004
Sobic.004G057500,-0.0035742974104703063,0.03074972646939258,-0.004560710609750415,0.9226729159343587,0.516219296389497,0.9014295655234337
Sobic.004G057700,0.04943902577172118,0.006501794943913328,0.05554801323414138,0.17913117419136287,0.8908458050445817,0.13112494336808078
Sobic.004G057800,-0.01151109086419763,0.0013891582909835443,-0.013119977264253407,0.7545720207031046,0.9766087315593339,0.7216054562655954
Sobic.004G057900,-0.04733536000668973,-0.06943599703205819,-0.036614099261453474,0.19837144168940887,0.14228125853463924,0.31990119340992523
Sobic.004G058000,-0.03293289387355634,-0.053695800359696476,-0.03305406997200586,0.3710010775479129,0.2567236456437935,0.36924247518111847
Sobic.004G058050,-0.06008529818802295,-0.03678887816245876,-0.048241289044635864,0.10242494419030598,0.4372996004221034,0.18990853117482362
Sobic.004G058100,0.012905230246770394,0.0913744421944179,0.004024950798220612,0.7259774888959608,0.0532763822098421,0.9129599084922669
Sobic.004G058200,0.03882359215012944,0.05770621606805783,0.026365554412460662,0.29154965982763653,0.22283886131562666,0.47390944470665225
Sobic.004G058300,0.06864134434463208,0.01661045773400876,0.07217654387358755,0.06200059997461167,0.7258741338429182,0.049686230929795246
Sobic.004G058400,-0.06881193932364564,-0.0737906505929333,-0.06199359637482778,0.0613532902182268,0.11885040277194032,0.09195415899111524
Sobic.004G058500,0.05556353854325591,-0.013756147220247811,0.04968920437597655,0.13101709292819863,0.7715385046128125,0.17693850071205117
Sobic.004G058600,0.01597151898988125,0.005580718528954363,0.013465214886014213,0.6644587517609833,0.9062321039675683,0.7145958083439512
Sobic.004G058700,-0.022854652041654766,0.00867018495315125,-0.02237776737627714,0.534768190856695,0.8547949018909976,0.5433280118910662
Sobic.004G058800,-0.028123183430567644,0.03110805152039505,-0.02511109644835934,0.4449321395613565,0.5113398806630717,0.4952083145351165
