gene_id,disease_exg_partial_r,human_score_partial_r,disease_exg_partial_p,human_score_partial_p
Sobic.004G057400,0.027432159518418323,-0.010461959432864855,0.45589752952490625,0.776168769273089
Sobic.004G057500,-0.02889501632170426,-0.014922847114099864,0.43222115932508803,0.685068629448742
Sobic.004G057700,0.022808955071560014,0.06068179643419004,0.5353090053508932,0.09882622248572524
Sobic.004G057800,0.03334103581839486,-0.012800678167185598,0.3647735846355474,0.7279323449001838
Sobic.004G057900,-0.10896593695249078,-0.06338080591801087,0.002977643832243096,0.08468438945119211
Sobic.004G058000,-0.01854196939560987,-0.06464322329480629,0.614311967705553,0.07865526111008586
Sobic.004G058050,-0.10140481661200317,-0.03498728908639778,0.005730135690857749,0.34156206265200517
Sobic.004G058100,0.049284613481326345,0.05209033425551982,0.1801993282960992,0.15661882392585796
Sobic.004G058200,0.08954874445117318,0.028678783119349148,0.014751632620760452,0.4356754726827663
Sobic.004G058300,0.036633324830798945,0.0849182270509052,0.31931911808090874,0.02078537790287662
Sobic.004G058400,-0.10890473175134796,-0.08288013949791155,0.002993951628602372,0.024059340818618023
Sobic.004G058500,0.0850002500928165,0.06531529062804602,0.020662152547481265,0.07559059377087081
Sobic.004G058600,0.05548408476748979,-6.144809243545011e-05,0.13130837640494838,0.9986676339280676
Sobic.004G058700,-0.022247529554480568,-0.052072442020338394,0.5454052936145227,0.1567614152288482
Sobic.004G058800,-0.034148794141440494,-0.05282179805308831,0.3532641564843698,0.15087312158096564
