POS,r2
1700013,4.3898604547023363e-4
1700017,4.102019157009448e-4
1700022,4.389860454702339e-4
1700045,4.520808376890411e-4
1700083,4.623621821471051e-6
1700095,0.008031432700546624
1700207,0.008793020057003123
1700304,0.007851349834301214
1700404,6.683447859901117e-4
1700412,0.014607166277611527
1700430,0.21067955281460124
1700456,0.008386134432315543
1700577,0.04722336534841635
1700585,0.19936018174442613
1700628,0.19831525107786768
1700704,0.015627693208045527
1700776,0.19841761404932703
1700868,0.013638486996867516
1700872,1.30807954416925e-7
1700952,0.008750729158134176
1700970,0.20830596392407505
1701062,0.01664585277248355
1701108,0.01469753881428973
1701122,9.875761499905848e-6
1701139,5.685056897501422e-6
1701208,0.0010588010519457746
1701300,4.5676534171378713e-4
1701571,0.010196391307118094
1701780,0.004544598607695088
1701794,0.021866169617009223
1701801,0.06468863562176334
1701985,0.0073951277045231235
1701996,0.006106965951396763
1702015,0.10620270675038815
1702042,0.005662779660088
1702632,0.005247289943138438
1702670,0.0019947548540443223
1702685,0.009141966511969607
1702689,0.009169665610258794
1702691,0.009220716259408051
1702692,0.009271652061674353
1702704,0.01391492381163856
1702705,0.012918405933521993
1702743,0.005255378387576097
1702791,0.2445101197609781
1703145,0.007531072444536776
1703267,0.008573807421422983
1703418,1.2023710319074813e-5
1703601,0.017443186475373938
1703765,0.007062310559832303
1703766,0.009351611177743883
1703846,0.2675831584952663
1704200,0.008608152010907708
1704211,0.01124562311470611
1704282,0.03709187722100926
1704287,0.006896609951307004
1704295,0.2457923837088888
1704366,0.004773933421005666
1704527,0.2523485486931906
1704603,0.020711869927406378
1704762,0.2376645789569572
1704871,0.0059701764606986925
1704977,0.013302975337780435
1704987,0.008127687238182156
1705012,0.0023968965612076367
1705085,0.002276334575732481
1705423,0.006905184223353625
1705713,0.017895825134559243
1706002,0.017674731878783795
1706313,0.23962849663313796
1706370,0.0067561959909147335
1706381,0.010020053446688259
1706413,2.412481828544647e-6
1706430,0.010269148805001458
1706604,1.0816032955523543e-5
1706633,0.1899921601887599
1706689,0.21796798403116835
1706714,0.01210094970306216
1706996,8.23831138670558e-6
1707013,0.014771933158872557
1707030,2.506940559425851e-6
1707111,0.0016042671714086663
1707150,0.006159822073329118
1707198,0.008101225866855575
1707302,0.008838224246445233
1707357,0.008197346401630326
1707438,0.006982022341412787
1707757,0.014879983897972456
1707901,0.22024609276540608
1708133,0.008521109150383684
1708366,0.00742380313263366
1708400,0.00777357744488435
1708420,0.007981506582075809
1708451,0.002498431424038505
1708483,0.0060191860747808214
1709141,5.490775381006652e-6
1709161,0.003688070958985051
1709163,3.718279010771846e-6
1709166,0.005566630821830805
1709176,5.792768304624828e-5
1709317,0.008503528112148237
1709334,0.015944535631951348
1709342,1.1060046183454416e-5
1709369,0.018271994764732784
1709450,0.013736352280969592
1709454,0.003174214532602943
1709469,0.007185724204424498
1709472,0.007362783130157834
1709481,0.20581686433338592
1709615,0.007433343628795891
1709678,0.006632800018526274
1709705,0.006108940039622007
1709769,0.004743868687901877
1709781,0.005209976045339328
1709804,0.0060708913617242505
1709929,0.017546382690614235
1709935,1.1995063573757676e-5
1709949,0.002440771039418139
1710016,0.005727252539297741
1710043,0.0021134733553552134
1710161,0.007227645745024988
1710261,0.007922037654674995
1710338,0.005961147386194213
1710358,0.007493277330410431
1710366,0.0013731485841917876
1710561,9.17049910471118e-5
1710599,0.004526554328319747
1710647,0.006072891292233177
1710668,0.21002076512626186
1710785,0.015884652642670156
1710824,7.5297714631556675e-6
1711175,0.008444439716392414
1711293,3.794489648269337e-6
1711424,0.0014273424766145417
1711473,0.019415716093556013
1711705,0.009104903493368538
1711757,7.549196156556875e-7
1712317,0.006111368951804219
1712356,0.006166943475502903
1712622,2.5451159208275643e-4
1712846,2.6578608163275605e-6
1712850,0.00644401031791047
1712907,0.0019671383731317054
1713036,0.0017514194703398555
1713321,0.01720234939076782
1713377,0.001671190646851347
1713557,0.006538451014584248
1713738,0.007728668130834219
1713906,4.619378383683739e-4
1713922,0.009489079943183121
1713928,0.009508613401054116
