environment,image_id,plotNumber,genotype
Alabama2025,10603_LeafPhotoA_2025-10-23 15_50_21.441,10603,
Alabama2025,10608_LeafPhotoA_2025-10-23 15_56_45.973,10608,
Alabama2025,10608_LeafPhotoA_2025-10-23 15_57_01.619,10608,
Alabama2025,10608_LeafPhotoA_2025-10-23 15_57_27.687,10608,
Alabama2025,10609_LeafPhotoA_2025-10-23 15_58_38.158,10609,
Alabama2025,10609_LeafPhotoA_2025-10-23 15_58_56.584,10609,
Alabama2025,10609_LeafPhotoA_2025-10-23 15_59_26.021,10609,
Alabama2025,10611_LeafPhotoA_2025-10-23 16_02_53.233,10611,
Alabama2025,10611_LeafPhotoA_2025-10-23 16_03_16.465,10611,
Alabama2025,10611_LeafPhotoA_2025-10-23 16_03_34.378,10611,
Alabama2025,10612_LeafPhotoA_2025-10-23 16_04_08.184,10612,PI534063
Alabama2025,10614_LeafPhotoA_2025-10-23 16_08_09.257,10614,PI655998
Alabama2025,10617_LeafPhotoA_2025-10-23 16_11_34.150,10617,PI655985
Alabama2025,10620_LeafPhotoA_2025-10-23 16_14_39.626,10620,
Alabama2025,10620_LeafPhotoA_2025-10-23 16_15_02.822,10620,
Alabama2025,10620_LeafPhotoA_2025-10-23 16_15_33.308,10620,
Alabama2025,10623_LeafPhotoA_2025-10-23 16_19_02.711,10623,
Alabama2025,10623_LeafPhotoA_2025-10-23 16_19_22.127,10623,
Alabama2025,10623_LeafPhotoA_2025-10-23 16_19_42.143,10623,
Alabama2025,10625_LeafPhotoA_2025-10-23 16_21_04.554,10625,
Alabama2025,10625_LeafPhotoA_2025-10-23 16_21_24.754,10625,
Alabama2025,10625_LeafPhotoA_2025-10-23 16_22_05.314,10625,
Alabama2025,10704_LeafPhotoA_2025-10-23 16_43_17.070,10704,
Alabama2025,10704_LeafPhotoA_2025-10-23 16_43_34.812,10704,
Alabama2025,10704_LeafPhotoA_2025-10-23 16_43_53.005,10704,
Alabama2025,10706_LeafPhotoA_2025-10-23 16_45_17.715,10706,
Alabama2025,10706_LeafPhotoA_2025-10-23 16_45_30.807,10706,
Alabama2025,10706_LeafPhotoA_2025-10-23 16_45_39.207,10706,
Alabama2025,10711_LeafPhotoA_2025-10-23 16_51_21.239,10711,
Alabama2025,10711_LeafPhotoA_2025-10-23 16_51_45.553,10711,
Alabama2025,10711_LeafPhotoA_2025-10-23 16_52_03.548,10711,
Alabama2025,10714_LeafPhotoA_2025-10-23 16_54_34.415,10714,PI595718
Alabama2025,10716_LeafPhotoA_2025-10-23 16_56_51.061,10716,PI656121
Alabama2025,10718_LeafPhotoA_2025-10-23 16_58_52.009,10718,
Alabama2025,10718_LeafPhotoA_2025-10-23 16_59_05.330,10718,
Alabama2025,10718_LeafPhotoA_2025-10-23 16_59_22.582,10718,
Alabama2025,10723_LeafPhotoA_2025-10-23 17_04_46.188,10723,
Alabama2025,10723_LeafPhotoA_2025-10-23 17_05_01.023,10723,
Alabama2025,10723_LeafPhotoA_2025-10-23 17_05_15.229,10723,
Alabama2025,10726_LeafPhotoA_2025-10-23 17_07_38.014,10726,
Alabama2025,10726_LeafPhotoA_2025-10-23 17_07_53.382,10726,
Alabama2025,10726_LeafPhotoA_2025-10-23 17_08_20.992,10726,
Alabama2025,10801_LeafPhotoA_2025-10-24 09_24_15.617,10801,PI533810
Alabama2025,10808_LeafPhotoA_2025-10-24 09_29_55.437,10808,
Alabama2025,10808_LeafPhotoA_2025-10-24 09_30_09.653,10808,
Alabama2025,10808_LeafPhotoA_2025-10-24 09_30_20.603,10808,
Alabama2025,10815_LeafPhotoA_2025-10-24 09_34_32.853,10815,PI655987
Alabama2025,10822_LeafPhotoA_2025-10-24 09_41_34.633,10822,
Alabama2025,10822_LeafPhotoA_2025-10-24 09_41_51.598,10822,
Alabama2025,10822_LeafPhotoA_2025-10-24 09_42_07.144,10822,
Alabama2025,10908_LeafPhotoA_2025-10-24 10_29_14.039,10908,PI656062
Alabama2025,10910_LeafPhotoA_2025-10-24 10_30_04.578,10910,
Alabama2025,10910_LeafPhotoA_2025-10-24 10_30_22.499,10910,
Alabama2025,10910_LeafPhotoA_2025-10-24 10_31_25.158,10910,
Alabama2025,10912_LeafPhotoA_2025-10-24 10_32_04.493,10912,PI533997
Alabama2025,10912_LeafPhotoA_2025-10-24 10_32_28.718,10912,PI533997
Alabama2025,10914_LeafPhotoA_2025-10-24 10_33_50.918,10914,PI576394
Alabama2025,10914_LeafPhotoA_2025-10-24 10_35_05.334,10914,PI576394
Alabama2025,10922_LeafPhotoA_2025-10-24 10_47_33.053,10922,
Alabama2025,10922_LeafPhotoA_2025-10-24 10_48_02.875,10922,
Alabama2025,10922_LeafPhotoA_2025-10-24 10_48_38.249,10922,
Alabama2025,11004_LeafPhotoA_2025-10-24 11_01_18.216,11004,
Alabama2025,11004_LeafPhotoA_2025-10-24 11_01_51.844,11004,
Alabama2025,11004_LeafPhotoA_2025-10-24 11_02_17.058,11004,
Alabama2025,11005_LeafPhotoA_2025-10-24 11_03_16.441,11005,
Alabama2025,11005_LeafPhotoA_2025-10-24 11_04_01.883,11005,
Alabama2025,11005_LeafPhotoA_2025-10-24 11_04_29.986,11005,
Alabama2025,11017_LeafPhotoA_2025-10-24 11_22_51.396,11017,
Alabama2025,11017_LeafPhotoA_2025-10-24 11_23_20.592,11017,
Alabama2025,11017_LeafPhotoA_2025-10-24 11_23_56.458,11017,
Alabama2025,11021_LeafPhotoA_2025-10-24 11_30_11.572,11021,PI17548
Alabama2025,11104_LeafPhotoA_2025-10-24 11_43_34.540,11104,PI576428
Alabama2025,11116_LeafPhotoA_2025-10-24 11_52_51.650,11116,
Alabama2025,11116_LeafPhotoA_2025-10-24 11_53_07.331,11116,
Alabama2025,11116_LeafPhotoA_2025-10-24 11_53_22.715,11116,
Alabama2025,11126_LeafPhotoA_2025-10-24 11_58_06.286,11126,
Alabama2025,11126_LeafPhotoA_2025-10-24 11_59_01.218,11126,
Alabama2025,11126_LeafPhotoA_2025-10-24 11_59_24.692,11126,
Alabama2025,11203_LeafPhotoA_2025-10-24 12_04_49.872,11203,
Alabama2025,11203_LeafPhotoA_2025-10-24 12_05_52.049,11203,
Alabama2025,11203_LeafPhotoA_2025-10-24 12_06_23.899,11203,
Alabama2025,11209_LeafPhotoA_2025-10-24 12_15_05.171,11209,
Alabama2025,11209_LeafPhotoA_2025-10-24 12_15_28.541,11209,
Alabama2025,11209_LeafPhotoA_2025-10-24 12_15_42.568,11209,
Alabama2025,11304_LeafPhotoA_2025-10-24 13_06_46.938,11304,
Alabama2025,11304_LeafPhotoA_2025-10-24 13_07_11.755,11304,
Alabama2025,11304_LeafPhotoA_2025-10-24 13_07_30.728,11304,
Alabama2025,11310_LeafPhotoA_2025-10-24 13_17_46.645,11310,PI533948
Alabama2025,11314_LeafPhotoA_2025-10-24 13_24_14.706,11314,
Alabama2025,11314_LeafPhotoA_2025-10-24 13_24_33.828,11314,
Alabama2025,11314_LeafPhotoA_2025-10-24 13_24_52.528,11314,
Alabama2025,11325_LeafPhotoA_2025-10-24 13_36_44.486,11325,
Alabama2025,11325_LeafPhotoA_2025-10-24 13_37_10.237,11325,
Alabama2025,11325_LeafPhotoA_2025-10-24 13_37_38.156,11325,
Alabama2025,11411_LeafPhotoA_2025-10-24 13_50_21.521,11411,
Alabama2025,11411_LeafPhotoA_2025-10-24 13_50_46.540,11411,
Alabama2025,11411_LeafPhotoA_2025-10-24 13_51_03.867,11411,
Alabama2025,11427_LeafPhotoA_2025-10-24 14_04_33.045,11427,PI655980
Alabama2025,11427_LeafPhotoA_2025-10-24 14_05_08.503,11427,PI655980
Alabama2025,11427_LeafPhotoA_2025-10-24 14_05_54.868,11427,PI655980
Alabama2025,11515_LeafPhotoA_2025-10-24 14_20_06.577,11515,PI534115
Alabama2025,11517_LeafPhotoA_2025-10-24 14_20_36.231,11517,PI656060
Alabama2025,11604_LeafPhotoA_2025-10-24 14_37_32.709,11604,
Alabama2025,11604_LeafPhotoA_2025-10-24 14_37_49.263,11604,
Alabama2025,11604_LeafPhotoA_2025-10-24 14_38_05.842,11604,
Alabama2025,11607_LeafPhotoA_2025-10-24 14_39_57.151,11607,
Alabama2025,11607_LeafPhotoA_2025-10-24 14_40_14.237,11607,
Alabama2025,11607_LeafPhotoA_2025-10-24 14_40_31.981,11607,
Alabama2025,11617_LeafPhotoA_2025-10-24 14_46_03.719,11617,PI656089
Alabama2025,11622_LeafPhotoA_2025-10-24 14_51_33.014,11622,
Alabama2025,11622_LeafPhotoA_2025-10-24 14_51_54.814,11622,
Alabama2025,11622_LeafPhotoA_2025-10-24 14_52_08.882,11622,
Alabama2025,11623_LeafPhotoA_2025-10-24 14_50_18.654,11623,
Alabama2025,11623_LeafPhotoA_2025-10-24 14_50_32.533,11623,
Alabama2025,11623_LeafPhotoA_2025-10-24 14_50_49.205,11623,
Alabama2025,20105_LeafPhotoA_2025-10-23 10_46_05.969,20105,
Alabama2025,20105_LeafPhotoA_2025-10-23 10_46_16.057,20105,
Alabama2025,20105_LeafPhotoA_2025-10-23 10_46_36.024,20105,
Alabama2025,20109_LeafPhotoA_2025-10-23 10_52_03.307,20109,
Alabama2025,20109_LeafPhotoA_2025-10-23 10_52_16.928,20109,
Alabama2025,20109_LeafPhotoA_2025-10-23 10_52_27.718,20109,
Alabama2025,20116_LeafPhotoA_2025-10-23 11_01_03.234,20116,
Alabama2025,20116_LeafPhotoA_2025-10-23 11_01_20.598,20116,
Alabama2025,20116_LeafPhotoA_2025-10-23 11_01_32.414,20116,
Alabama2025,20120_LeafPhotoA_2025-10-23 11_06_07.088,20120,
Alabama2025,20120_LeafPhotoA_2025-10-23 11_06_22.528,20120,
Alabama2025,20120_LeafPhotoA_2025-10-23 11_06_33.821,20120,
Alabama2025,20126_LeafPhotoA_2025-10-23 11_15_00.747,20126,
Alabama2025,20126_LeafPhotoA_2025-10-23 11_15_20.679,20126,
Alabama2025,20126_LeafPhotoA_2025-10-23 11_15_35.339,20126,
Alabama2025,20202_LeafPhotoA_2025-10-23 11_20_55.979,20202,
Alabama2025,20202_LeafPhotoA_2025-10-23 11_21_17.803,20202,
Alabama2025,20202_LeafPhotoA_2025-10-23 11_21_53.935,20202,
Alabama2025,20204_LeafPhotoA_2025-10-23 11_24_48.706,20204,
Alabama2025,20204_LeafPhotoA_2025-10-23 11_25_00.667,20204,
Alabama2025,20204_LeafPhotoA_2025-10-23 11_25_10.465,20204,
Alabama2025,20208_LeafPhotoA_2025-10-23 11_29_37.524,20208,
Alabama2025,20208_LeafPhotoA_2025-10-23 11_29_47.228,20208,
Alabama2025,20208_LeafPhotoA_2025-10-23 11_29_56.488,20208,
Alabama2025,20209_LeafPhotoA_2025-10-23 11_30_41.344,20209,PI656070
Alabama2025,20212_LeafPhotoA_2025-10-23 11_33_02.559,20212,
Alabama2025,20212_LeafPhotoA_2025-10-23 11_33_11.824,20212,
Alabama2025,20212_LeafPhotoA_2025-10-23 11_33_19.554,20212,
Alabama2025,20215_LeafPhotoA_2025-10-23 11_35_28.047,20215,
Alabama2025,20215_LeafPhotoA_2025-10-23 11_35_37.277,20215,
Alabama2025,20215_LeafPhotoA_2025-10-23 11_35_45.830,20215,
Alabama2025,20216_LeafPhotoA_2025-10-23 11_36_16.938,20216,
Alabama2025,20216_LeafPhotoA_2025-10-23 11_36_26.555,20216,
Alabama2025,20216_LeafPhotoA_2025-10-23 11_36_36.990,20216,
Alabama2025,20217_LeafPhotoA_2025-10-23 11_37_21.603,20217,
Alabama2025,20217_LeafPhotoA_2025-10-23 11_37_35.446,20217,
Alabama2025,20217_LeafPhotoA_2025-10-23 11_37_44.819,20217,
Alabama2025,20219_LeafPhotoA_2025-10-23 11_39_51.653,20219,PI534070
Alabama2025,20223_LeafPhotoA_2025-10-23 11_44_02.231,20223,PI534101
Alabama2025,20224_LeafPhotoA_2025-10-23 11_45_23.431,20224,PI597952
Alabama2025,20225_LeafPhotoA_2025-10-23 11_46_21.684,20225,
Alabama2025,20225_LeafPhotoA_2025-10-23 11_46_53.716,20225,
Alabama2025,20225_LeafPhotoA_2025-10-23 11_47_03.889,20225,
Alabama2025,20227_LeafPhotoA_2025-10-23 11_49_14.226,20227,
Alabama2025,20227_LeafPhotoA_2025-10-23 11_49_26.026,20227,
Alabama2025,20227_LeafPhotoA_2025-10-23 11_49_36.615,20227,
Alabama2025,20301_LeafPhotoA_2025-10-23 11_52_35.162,20301,
Alabama2025,20301_LeafPhotoA_2025-10-23 11_52_54.865,20301,
Alabama2025,20301_LeafPhotoA_2025-10-23 11_53_11.360,20301,
Alabama2025,20302_LeafPhotoA_2025-10-23 11_54_35.732,20302,PI533998
Alabama2025,20305_LeafPhotoA_2025-10-23 11_56_49.380,20305,
Alabama2025,20305_LeafPhotoA_2025-10-23 11_57_01.825,20305,
Alabama2025,20305_LeafPhotoA_2025-10-23 11_57_25.143,20305,
Alabama2025,20309_LeafPhotoA_2025-10-23 12_03_42.946,20309,
Alabama2025,20309_LeafPhotoA_2025-10-23 12_03_54.616,20309,
Alabama2025,20309_LeafPhotoA_2025-10-23 12_04_27.463,20309,
Alabama2025,20320_LeafPhotoA_2025-10-23 12_14_40.262,20320,
Alabama2025,20320_LeafPhotoA_2025-10-23 12_14_55.981,20320,
Alabama2025,20320_LeafPhotoA_2025-10-23 12_15_12.712,20320,
Alabama2025,20321_LeafPhotoA_2025-10-23 12_16_29.758,20321,PI534037
Alabama2025,20322_LeafPhotoA_2025-10-23 12_17_05.004,20322,
Alabama2025,20322_LeafPhotoA_2025-10-23 12_17_17.299,20322,
Alabama2025,20322_LeafPhotoA_2025-10-23 12_17_29.876,20322,
Alabama2025,20325_LeafPhotoA_2025-10-23 12_19_26.576,20325,PI655989
Alabama2025,20401_LeafPhotoA_2025-10-23 13_57_22.979,20401,PI533831
Alabama2025,20402_LeafPhotoA_2025-10-23 13_58_28.141,20402,PI533972
Alabama2025,20403_LeafPhotoA_2025-10-23 13_59_16.115,20403,PI534133
Alabama2025,20404_LeafPhotoA_2025-10-23 13_59_34.890,20404,
Alabama2025,20404_LeafPhotoA_2025-10-23 13_59_46.462,20404,
Alabama2025,20404_LeafPhotoA_2025-10-23 14_00_01.002,20404,
Alabama2025,20405_LeafPhotoA_2025-10-23 14_00_22.380,20405,
Alabama2025,20405_LeafPhotoA_2025-10-23 14_00_34.088,20405,
Alabama2025,20405_LeafPhotoA_2025-10-23 14_00_44.013,20405,
Alabama2025,20406_LeafPhotoA_2025-10-23 14_01_07.378,20406,PI629040
Alabama2025,20408_LeafPhotoA_2025-10-23 14_02_09.569,20408,PI656006
Alabama2025,20409_LeafPhotoA_2025-10-23 14_02_52.549,20409,PI656009
Alabama2025,20409_LeafPhotoA_2025-10-23 14_03_02.383,20409,PI656009
Alabama2025,20410_LeafPhotoA_2025-10-23 14_03_32.178,20410,
Alabama2025,20410_LeafPhotoA_2025-10-23 14_03_41.967,20410,
Alabama2025,20410_LeafPhotoA_2025-10-23 14_03_51.081,20410,
Alabama2025,20414_LeafPhotoA_2025-10-23 14_06_47.462,20414,
Alabama2025,20414_LeafPhotoA_2025-10-23 14_06_57.844,20414,
Alabama2025,20414_LeafPhotoA_2025-10-23 14_07_07.903,20414,
Alabama2025,20416_LeafPhotoA_2025-10-23 14_08_45.606,20416,
Alabama2025,20416_LeafPhotoA_2025-10-23 14_08_56.740,20416,
Alabama2025,20416_LeafPhotoA_2025-10-23 14_09_08.082,20416,
Alabama2025,20417_LeafPhotoA_2025-10-23 14_09_39.501,20417,
Alabama2025,20417_LeafPhotoA_2025-10-23 14_09_54.663,20417,
Alabama2025,20417_LeafPhotoA_2025-10-23 14_10_05.449,20417,
Alabama2025,20419_LeafPhotoA_2025-10-23 14_11_25.036,20419,PI533921
Alabama2025,20420_LeafPhotoA_2025-10-23 14_16_56.097,20420,
Alabama2025,20420_LeafPhotoA_2025-10-23 14_17_31.451,20420,
Alabama2025,20420_LeafPhotoA_2025-10-23 14_17_45.307,20420,
Alabama2025,20501_LeafPhotoA_2025-10-23 14_25_04.433,20501,
Alabama2025,20501_LeafPhotoA_2025-10-23 14_25_24.562,20501,
Alabama2025,20501_LeafPhotoA_2025-10-23 14_25_49.106,20501,
Alabama2025,20507_LeafPhotoA_2025-10-23 14_29_12.318,20507,
Alabama2025,20507_LeafPhotoA_2025-10-23 14_29_24.694,20507,
Alabama2025,20507_LeafPhotoA_2025-10-23 14_29_35.225,20507,
Alabama2025,20512_LeafPhotoA_2025-10-23 14_31_32.791,20512,PI533967
Alabama2025,20513_LeafPhotoA_2025-10-23 14_32_19.365,20513,
Alabama2025,20513_LeafPhotoA_2025-10-23 14_32_30.327,20513,
Alabama2025,20513_LeafPhotoA_2025-10-23 14_32_38.456,20513,
Alabama2025,20514_LeafPhotoA_2025-10-23 14_33_12.126,20514,
Alabama2025,20514_LeafPhotoA_2025-10-23 14_33_23.006,20514,
Alabama2025,20514_LeafPhotoA_2025-10-23 14_33_33.580,20514,
Alabama2025,20527_LeafPhotoA_2025-10-23 14_41_34.662,20527,
Alabama2025,20527_LeafPhotoA_2025-10-23 14_41_46.650,20527,
Alabama2025,20527_LeafPhotoA_2025-10-23 14_41_58.939,20527,
Alabama2025,20603_LeafPhotoA_2025-10-23 14_45_32.888,20603,PI533943
Alabama2025,20605_LeafPhotoA_2025-10-23 14_46_48.155,20605,
Alabama2025,20605_LeafPhotoA_2025-10-23 14_47_00.861,20605,
Alabama2025,20605_LeafPhotoA_2025-10-23 14_47_07.217,20605,
Alabama2025,20610_LeafPhotoA_2025-10-23 14_50_25.892,20610,
Alabama2025,20610_LeafPhotoA_2025-10-23 14_50_38.136,20610,
Alabama2025,20610_LeafPhotoA_2025-10-23 14_50_49.550,20610,
Alabama2025,20617_LeafPhotoA_2025-10-23 14_57_33.824,20617,
Alabama2025,20617_LeafPhotoA_2025-10-23 14_57_46.576,20617,
Alabama2025,20617_LeafPhotoA_2025-10-23 14_57_55.591,20617,
Alabama2025,20620_LeafPhotoA_2025-10-23 15_00_41.945,20620,PI533750
Alabama2025,20624_LeafPhotoA_2025-10-23 15_02_56.816,20624,
Alabama2025,20624_LeafPhotoA_2025-10-23 15_03_07.217,20624,
Alabama2025,20624_LeafPhotoA_2025-10-23 15_03_17.313,20624,
Alabama2025,20710_LeafPhotoA_2025-10-23 16_04_16.624,20710,
Alabama2025,20710_LeafPhotoA_2025-10-23 16_04_54.595,20710,
Alabama2025,20710_LeafPhotoA_2025-10-23 16_05_10.791,20710,
Alabama2025,20711_LeafPhotoA_2025-10-23 16_05_32.368,20711,
Alabama2025,20711_LeafPhotoA_2025-10-23 16_05_53.359,20711,
Alabama2025,20711_LeafPhotoA_2025-10-23 16_06_12.460,20711,
Alabama2025,20713_LeafPhotoA_2025-10-23 16_07_05.352,20713,PI655970
Alabama2025,20714_LeafPhotoA_2025-10-23 16_08_07.580,20714,
Alabama2025,20714_LeafPhotoA_2025-10-23 16_08_29.342,20714,
Alabama2025,20714_LeafPhotoA_2025-10-23 16_08_50.958,20714,
Alabama2025,20718_LeafPhotoA_2025-10-23 16_11_54.351,20718,PI656111
Alabama2025,20719_LeafPhotoA_2025-10-23 16_12_23.253,20719,PI533948
Alabama2025,20723_LeafPhotoA_2025-10-23 16_15_07.393,20723,PI576390
Alabama2025,20723_LeafPhotoA_2025-10-23 16_15_22.951,20723,PI576390
Alabama2025,20801_LeafPhotoA_2025-10-24 09_50_36.076,20801,PI533800
Alabama2025,20806_LeafPhotoA_2025-10-24 09_53_07.653,20806,
Alabama2025,20806_LeafPhotoA_2025-10-24 09_53_22.901,20806,
Alabama2025,20806_LeafPhotoA_2025-10-24 09_53_46.837,20806,
Alabama2025,20808_LeafPhotoA_2025-10-24 09_54_31.382,20808,PI656117
Alabama2025,20808_LeafPhotoA_2025-10-24 09_54_54.155,20808,PI656117
Alabama2025,20816_LeafPhotoA_2025-10-24 10_00_53.186,20816,
Alabama2025,20816_LeafPhotoA_2025-10-24 10_01_27.399,20816,
Alabama2025,20816_LeafPhotoA_2025-10-24 10_02_07.144,20816,
Alabama2025,20821_LeafPhotoA_2025-10-24 10_12_41.911,20821,
Alabama2025,20821_LeafPhotoA_2025-10-24 10_13_04.709,20821,
Alabama2025,20821_LeafPhotoA_2025-10-24 10_13_21.057,20821,
Alabama2025,20906_LeafPhotoA_2025-10-24 10_27_17.097,20906,
Alabama2025,20906_LeafPhotoA_2025-10-24 10_27_34.600,20906,
Alabama2025,20906_LeafPhotoA_2025-10-24 10_28_02.102,20906,
Alabama2025,20908_LeafPhotoA_2025-10-24 10_28_47.730,20908,
Alabama2025,20908_LeafPhotoA_2025-10-24 10_29_23.635,20908,
Alabama2025,20908_LeafPhotoA_2025-10-24 10_30_20.164,20908,
Alabama2025,20910_LeafPhotoA_2025-10-24 10_31_13.039,20910,
Alabama2025,20910_LeafPhotoA_2025-10-24 10_31_45.708,20910,
Alabama2025,20910_LeafPhotoA_2025-10-24 10_32_56.395,20910,
Alabama2025,20913_LeafPhotoA_2025-10-24 10_36_33.005,20913,
Alabama2025,20913_LeafPhotoA_2025-10-24 10_37_21.886,20913,
Alabama2025,20913_LeafPhotoA_2025-10-24 10_37_42.623,20913,
Alabama2025,20918_LeafPhotoA_2025-10-24 10_45_09.493,20918,
Alabama2025,20918_LeafPhotoA_2025-10-24 10_46_22.372,20918,
Alabama2025,20918_LeafPhotoA_2025-10-24 10_46_49.394,20918,
