gene_id,emb_partial_r,emb_partial_p,yellow_partial_r,yellow_partial_p,gloss_partial_r,gloss_partial_p,n
Sobic.009G229100,-0.08133966264590464,0.027342275993531253,-0.01118842479257919,0.7612398467716096,-0.00032001014010171687,0.9930660707164806,736
Sobic.009G229150,-0.05188445282238202,0.15968118269507095,-0.01949375138279143,0.5964994063762772,-0.003695064547425196,0.9200688119856262,736
Sobic.009G229200,0.0041310573207695815,0.9109163637546999,-0.03087611064907767,0.4016370630640814,-0.03905091996362036,0.28873137641071833,736
Sobic.009G229300,-0.03830135618866071,0.2994077007300183,0.035409652735014646,0.3360897955190051,-0.049118073549248534,0.18197358427699967,736
Sobic.009G229400,-0.04988062716154408,0.17644924089863107,-0.006668213222369344,0.8562966390445738,-0.037442421456515766,0.3090683692713844,736
Sobic.009G229500,0.024041910960189036,0.5149004717055073,0.017800513351170333,0.6287790701675685,-0.04262724242805756,0.2468017964388347,736
Sobic.009G229600,-0.003122280127681419,0.9326099530040568,0.03836598553547635,0.2972786032990285,0.006505872917306807,0.8597585231388314,736
Sobic.009G229650,0.05167491272047098,0.1613761615302212,-0.021493511247197207,0.5593779302520794,-0.023478254946441384,0.52367823128274,736
Sobic.009G229700,0.013565888246864891,0.7133022618940292,-0.03324635583800061,0.3664625099751797,-0.057573321375356756,0.11762648584032673,736
Sobic.009G229801,0.03230725874080317,0.3814581894296858,0.0639978303318951,0.08189943075909496,-0.08853264296691535,0.01599591293733123,736
Sobic.009G229900,0.018193416025692112,0.6221702617962616,0.020995157347850298,0.5685234856114657,-0.04156654437728745,0.2587675697325265,736
Sobic.009G230000,-0.05453915744384402,0.13935541232941567,0.04086934203285292,0.26684789480527504,-0.05166549289714131,0.16031432007084076,736
Sobic.009G230100,-0.10351348631866596,0.0049382886879151084,0.06517572871181697,0.076418049234626,0.019144060871153355,0.6031039752903343,736
Sobic.009G230200,0.023069464955306478,0.5320509443096123,0.05001312675410957,0.17412923309550726,0.07485946711570514,0.041769209668373726,736
Sobic.009G230400,-0.04921553599310277,0.18229468682457114,0.03240520036183611,0.3787197043151256,-0.05104721470412172,0.16538341890511088,736
Sobic.009G230500,0.03560653025735736,0.33472266547081475,-0.040841429094450835,0.26717496248138284,-0.0011087117322831578,0.9759799291040437,736
Sobic.009G230650,0.009675443882867282,0.7932842853828882,-0.037038569080689136,0.3143193735573591,-0.023972902157983162,0.5149660667493099,736
Sobic.009G230700,-0.01054927477305255,0.7750955295169818,0.04792381256194741,0.19284355795572353,-0.03201750087958271,0.3844530058509021,736
Sobic.009G230800,-0.03427457382656179,0.35312843866531957,0.017085291614347516,0.6426345960904494,0.008690932266182217,0.8134142732935185,736
Sobic.009G230900,0.007106686578342748,0.847370694591499,0.042543464484810264,0.24773258601279463,-0.01926355059180238,0.6008434929388938,736
Sobic.009G231000,-0.008909755598106226,0.8093152049291906,-0.016499283295650476,0.6540804613082727,0.02870616047501076,0.4355482978410646,736
Sobic.009G231100,-0.12874635223423503,0.0004627400957015456,0.023601059635732235,0.5215082675679339,0.05405602752098428,0.14181345515033736,736
Sobic.009G231200,0.0031562973972359513,0.9318775112257314,-0.007257485703166932,0.8437541323774223,0.04624604498029697,0.20890790341629367,736
Sobic.009G231300,-0.053914158752654665,0.14395198526773742,0.037199237927723755,0.31222333926020324,0.07749547263091354,0.03505595870043067,736
Sobic.009G231400,0.023453512803317093,0.5252433645730296,0.011105501298589128,0.7629563275870501,0.07257692256120345,0.04843050149158403,736
